TimeStep,Time,"U:0","U:1","U:2","p","arc_length"
2,300,nan,nan,nan,nan,6.5264
2,300,nan,nan,nan,nan,6.5402
2,300,nan,nan,nan,nan,6.5541
2,300,nan,nan,nan,nan,6.5679
2,300,nan,nan,nan,nan,6.5818
2,300,nan,nan,nan,nan,6.5956
2,300,nan,nan,nan,nan,6.6095
2,300,nan,nan,nan,nan,6.6234
2,300,nan,nan,nan,nan,6.6372
2,300,nan,nan,nan,nan,6.6511
2,300,nan,nan,nan,nan,6.6649
2,300,nan,nan,nan,nan,6.6788
2,300,nan,nan,nan,nan,6.6926
2,300,nan,nan,nan,nan,6.7065
2,300,nan,nan,nan,nan,6.7204
2,300,nan,nan,nan,nan,6.7342
2,300,nan,nan,nan,nan,6.7481
2,300,nan,nan,nan,nan,6.7619
2,300,nan,nan,nan,nan,6.7758
2,300,nan,nan,nan,nan,6.7896
2,300,nan,nan,nan,nan,6.8035
2,300,nan,nan,nan,nan,6.8174
2,300,nan,nan,nan,nan,6.8312
2,300,nan,nan,nan,nan,6.8451
2,300,nan,nan,nan,nan,6.8589
2,300,nan,nan,nan,nan,6.8728
2,300,nan,nan,nan,nan,6.8866
2,300,nan,nan,nan,nan,6.9005
2,300,nan,nan,nan,nan,6.9143
2,300,nan,nan,nan,nan,6.9282
2,300,nan,nan,nan,nan,6.9421
2,300,nan,nan,nan,nan,6.9559
2,300,nan,nan,nan,nan,6.9698
2,300,nan,nan,nan,nan,6.9836
2,300,nan,nan,nan,nan,6.9975
2,300,nan,nan,nan,nan,7.0113
2,300,1.3407,0.11054,-0.24239,-29.641,7.0252
2,300,10.339,1.0154,-2.1626,-27.52,7.0391
2,300,17.432,1.5343,-3.6589,-29.098,7.0529
2,300,20.07,1.1302,-3.6162,-24.394,7.0668
2,300,20.341,0.89498,-2.9396,-16.889,7.0806
2,300,nan,nan,nan,nan,7.0945
2,300,20.349,1.1904,-2.766,-8.504,7.1083
2,300,20.276,1.3482,-2.853,-7.2705,7.1222
2,300,20.151,1.5022,-2.8304,-5.4122,7.136
2,300,20.05,1.6863,-2.8076,-3.9658,7.1499
2,300,20.003,1.9241,-2.7746,-3.131,7.1638
2,300,19.922,2.1211,-2.7581,-2.5817,7.1776
2,300,19.776,2.2871,-2.7604,-2.284,7.1915
2,300,19.597,2.4293,-2.6475,-1.7765,7.2053
2,300,19.462,2.5162,-2.4027,-1.2528,7.2192
2,300,19.507,2.5779,-2.1416,-1.1192,7.233
